,Team,Opponent,Date,Result,Bowling,O,M,R,W,NB,WD,E/R
1,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Ryan Klein,2,0,21,2,1,2,10.50
2,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Sebastiaan Braat (c),1.5,0,16,4,1,1,8.72
3,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Clayton Floyd,2,0,27,0,0,0,13.50
4,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Julian De Mey,1,0,32,0,0,1,32
5,Netherlands XI,Belgium,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Olivier Elenbaas,1,0,8,3,0,0,8
0,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Viv Kingma,2,0,16,0,0,0,8
1,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Ryan Klein,2,0,21,2,1,2,10.50
2,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Sebastiaan Braat (c),1.5,0,16,4,1,1,8.72
3,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Clayton Floyd,2,0,27,0,0,0,13.50
4,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Julian De Mey,1,0,32,0,0,1,32
5,Belgium,Netherlands XI,| Wednesday 6th October | 09:00,Netherlands XI beat Belgium by 11 runs,Olivier Elenbaas,1,0,8,3,0,0,8
0,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Muhammad Imran,2,0,14,1,0,0,7
1,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Ammad Khan,1,0,11,1,0,1,11
2,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Damith Kosala,1,0,18,0,0,2,18
3,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Jaspreet Singh,2,0,19,1,0,0,9.50
4,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Jorawar Singh,1,0,16,0,0,0,16
5,Italy,England XI,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Rajmani Sandhu,0.1,0,4,0,0,0,24
0,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Muhammad Imran,2,0,14,1,0,0,7
1,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Ammad Khan,1,0,11,1,0,1,11
2,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Damith Kosala,1,0,18,0,0,2,18
3,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Jaspreet Singh,2,0,19,1,0,0,9.50
4,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Jorawar Singh,1,0,16,0,0,0,16
5,England XI,Italy,| Wednesday 6th October | 07:00,England XI beat Italy by 7 wickets,Rajmani Sandhu,0.1,0,4,0,0,0,24
0,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Rich Edwards,2,0,47,1,0,2,23.50
1,England XI,Belgium,| Tuesday 5th October | 15:00,Belgium beat England XI by 7 wickets,Alex Russell,2,0,24,1,0,0,12
